"custid","gender","age","marriage","residence","job"
13694,0,29,1,"Seocho-gu","제조업"
28045,0,37,0,"Gangnam-gu","운송서비스"
26097,1,36,0,"Dobong-gu","그룹사"
40923,1,50,0,"Nowon-gu","개인사업"
27436,0,37,1,"Gangnam-gu","제조업"
29187,0,38,0,"Mapo-gu","정보서비스"
44918,0,55,1,"Songpa-gu","제조업"
26917,1,36,1,"Mapo-gu","제조업"
31388,0,41,1,"Yangcheon-gu","제조업"
30356,0,40,1,"Gangnam-gu","제조업"
35681,1,45,1,"Seodaemun-gu","개인사업"
47410,1,60,1,"Seocho-gu","언론기관"
17808,1,31,0,"Geumcheon-gu","개인사업"
20243,0,32,1,"Seodaemun-gu","개인사업"
10275,0,28,0,"Eunpyeong-gu","개인사업"
47319,0,60,1,"Jung-gu","제조업"
31456,1,41,1,"Seocho-gu","의료기관"
37503,0,47,1,"Seocho-gu","의료기관"
15903,0,30,1,"Seongdong-gu","개인사업"
11969,1,29,0,"Seocho-gu","개인사업"
16036,0,30,0,"Seongbuk-gu","개인사업"
28117,0,37,0,"Gwanak-gu","교육기관"
31161,1,40,1,"Songpa-gu","제조업"
22103,0,33,0,"Dongdaemun-gu","교육기관"
19342,1,32,1,"Seocho-gu","제조업"
15968,1,30,0,"Songpa-gu","개인사업"
12733,0,29,1,"Gwanak-gu","개인사업"
35148,0,44,1,"Seocho-gu","개인사업"
23674,1,34,1,"Songpa-gu","제조업"
15219,0,30,0,"Yeongdeungpo-gu","금융기관"
20599,0,32,0,"Dongjak-gu","개인사업"
34761,0,45,1,"Seocho-gu","개인사업"
21877,0,33,1,"Seocho-gu","금융기관"
47739,1,61,1,"Gangnam-gu","교육기관"
25339,0,35,1,"Seocho-gu","금융기관"
18788,0,31,0,"Seodaemun-gu","제조업"
34455,0,44,1,"Yangcheon-gu","개인사업"
22457,0,33,0,"Jongno-gu","제조업"
36741,0,46,1,"Yongsan-gu","정보서비스"
15154,0,30,1,"Mapo-gu","제조업"
19553,0,32,0,"Yongsan-gu","개인사업"
16105,0,30,0,"Gangbuk-gu","개인사업"
24480,1,34,1,"Seongdong-gu","도소매업"
14258,0,29,1,"Seodaemun-gu","개인사업"
30193,0,40,1,"Gangdong-gu","개인사업"
27222,0,37,1,"Mapo-gu","개인사업"
25202,1,35,0,"Seocho-gu","제조업"
23975,0,34,1,"Songpa-gu","공무원"
44246,0,54,1,"Seocho-gu","도소매업"
21948,0,33,0,"Gangnam-gu","개인사업"
46441,0,58,1,"Gangnam-gu","교육기관"
22994,1,33,0,"Gangnam-gu","의료기관"
29052,0,37,0,"Seocho-gu","개인사업"
16943,1,30,0,"Seocho-gu","제조업"
25803,0,36,1,"Mapo-gu","개인사업"
35612,0,46,1,"Gangdong-gu","개인사업"
39581,0,49,1,"Gangnam-gu","개인사업"
20521,1,32,1,"Guro-gu","그룹사"
15841,0,30,0,"Gangnam-gu","제조업"
22310,0,33,1,"Gangdong-gu","개인사업"
30267,1,40,0,"Eunpyeong-gu","금융기관"
29938,0,39,1,"Yongsan-gu","공무원"
39764,1,49,1,"Seocho-gu","의료기관"
32845,1,42,1,"Gangnam-gu","제조업"
41943,0,52,1,"Jungnang-gu","정보서비스"
38013,0,47,1,"Seocho-gu","교육기관"
30424,1,40,1,"Gwangjin-gu","그룹사"
19885,1,32,1,"Gangnam-gu","제조업"
18583,0,30,1,"Gwanak-gu","공무원"
23904,0,34,1,"Gangdong-gu","운송서비스"
41313,1,51,1,"Gangdong-gu","개인사업"
22029,0,33,0,"Gangdong-gu","개인사업"
40360,0,50,1,"Yangcheon-gu","공무원"
30501,0,40,1,"Seongdong-gu","개인사업"
22528,0,33,1,"Eunpyeong-gu","정보서비스"
34686,0,44,1,"Gangnam-gu","의료기관"
34211,0,43,1,"Gangnam-gu","교육기관"
41515,1,51,1,"Songpa-gu","제조업"
17477,0,31,0,"Seongdong-gu","제조업"
32155,0,41,1,"Gangnam-gu","개인사업"
13493,0,31,0,"Mapo-gu","제조업"
47842,0,61,1,"Songpa-gu","개인사업"
19686,0,32,1,"Yongsan-gu","개인사업"
33974,0,43,0,"Seocho-gu","개인사업"
14395,1,29,0,"Eunpyeong-gu","건설업"
23495,1,34,0,"Mapo-gu","운송서비스"
10983,0,28,0,"Gangnam-gu","의료기관"
31600,1,41,1,"Gangseo-gu","전문직"
32082,0,41,1,"Gangnam-gu","건설업"
18029,0,31,0,"Jung-gu","공공기관"
26248,0,36,1,"Gwanak-gu","도소매업"
28264,1,38,1,"Songpa-gu","건설업"
15565,1,30,1,"Gangdong-gu","개인사업"
32923,0,42,1,"Gwangjin-gu","개인사업"
41768,0,51,0,"Mapo-gu","제조업"
46969,1,59,1,"Gwangjin-gu","개인사업"
11046,0,28,0,"Seongdong-gu","금융기관"
17540,0,31,0,"Jungnang-gu","제조업"
39950,0,49,1,"Gangnam-gu","개인사업"
35298,0,44,1,"Gwangjin-gu","개인사업"
42232,1,52,1,"Songpa-gu","건설업"
27514,0,37,1,"Gangnam-gu","개인사업"
21588,0,33,1,"Seodaemun-gu","공무원"
30112,0,39,1,"Gangnam-gu","건설업"
20097,0,32,1,"Seongdong-gu","제조업"
11113,0,28,0,"Seocho-gu","의료기관"
44632,0,55,1,"Seodaemun-gu","교육기관"
44449,1,55,1,"Seocho-gu","건설업"
48997,0,66,1,"Gangnam-gu","개인사업"
25269,0,35,1,"Gangdong-gu","개인사업"
